CÓDIGO DO,Unnamed: 0,Unnamed: 1,CST,Unnamed: 2,Unnamed: 3,Unnamed: 4,VALOR,VALOR.1,DESCONTO,BASE,VALOR.2,VALOR.3,ALÍQUOTAS
22181020001,REFLETOR LANTERNA NXR BROS 160,87141000,260.0,5405,PC,"2,0000","7,5518","15,10","0,45","0,00","0,00","0,00","0,00 0,00"
22175340006,REFLETOR LANTERNA TITAN 150 (,39269090,260.0,5405,PC,"2,0000","7,8539","15,71","0,47","0,00","0,00","0,00","0,00 0,00"
,2009/2013 ),,,,,,,,,,,,
22019390000,REFLETOR LANTERNA TITAN FAN,87141000,260.0,5405,PC,"2,0000","5,3777","10,76","0,32","0,00","0,00","0,00","0,00 0,00"
,TWISTER FALCON,,,,,,,,,,,,
22181120004,REFLETOR PARALAMA TRASEIRO NXR,87141000,260.0,5405,PC,"2,0000","3,0015","6,00","0,18","0,00","0,00","0,00","0,00 0,00"
,BROS 150,,,,,,,,,,,,
22027600001,REPARO CARBURADOR TITAN 150 FAN 125,87141000,260.0,5405,JG,"1,0000","19,5098","19,51","0,59","0,00","0,00","0,00","0,00 0,00"
,2009,,,,,,,,,,,,
22015630006,REPARO CARBURADOR TITAN 2000 CG,87141000,60.0,5405,PC,"1,0000","19,1346","19,13","0,57","0,00","0,00","0,00","0,00 0,00"
,(1996/1999),,,,,,,,,,,,
22170370004,REPARO CARBURADOR TWISTER,87141000,260.0,5405,JG,"1,0000","20,2571","20,26","0,61","0,00","0,00","0,00","0,00 0,00"
22073170004,REPARO CARBURADOR YBR XTZ,84099113,260.0,5405,JG,"1,0000","28,4892","28,49","0,85","0,00","0,00","0,00","0,00 0,00"
22014580005,REPARO CILINDRO MESTRE TITAN 150 125,87141000,60.0,5405,JG,"2,0000","12,8074","25,61","0,77","0,00","0,00","0,00","0,00 0,00"
,CB 300,,,,,,,,,,,,
22015500005,REPARO CILINDRO MESTRE TURUNA ML,87141000,60.0,5405,JG,"2,0000","16,8084","33,62","1,01","0,00","0,00","0,00","0,00 0,00"
22071230000,REPARO CILINDRO MESTRE YBR,87141000,60.0,5405,PC,"2,0000","12,7564","25,51","0,77","0,00","0,00","0,00","0,00 0,00"
,TWISTER SUZUKI,,,,,,,,,,,,
22144980003,RESERVATORIO OLEO FREIO TRASEIRO,87141000,260.0,5405,PC,"4,0000","12,5063","50,03","1,50","0,00","0,00","0,00","0,00 0,00"
,TITAN 160,,,,,,,,,,,,
22025480007,TELA FILTRO OLEO TITAN CG,87141000,60.0,5405,PC,"4,0000","2,0010","8,00","0,24","0,00","0,00","0,00","0,00 0,00"
22015050000,TORNEIRA GASOLINA BIZ DREAM 100,87141000,260.0,5405,PC,"2,0000","10,5053","21,01","0,63","0,00","0,00","0,00","0,00 0,00"
22005220001,TORNEIRA GASOLINA FAN 125 ( 2009/2015 ),87141000,260.0,5405,PC,"1,0000","22,2726","22,27","0,67","0,00","0,00","0,00","0,00 0,00"
22011920000,TORNEIRA GASOLINA TITAN 150,87141000,260.0,5405,PC,"1,0000","20,5103","20,51","0,62","0,00","0,00","0,00","0,00 0,00"
22072310007,TORNEIRA GASOLINA YBR XTZ 125 TDM,87141000,260.0,5405,PC,"1,0000","30,6153","30,62","0,92","0,00","0,00","0,00","0,00 0,00"
,225 XT 225,,,,,,,,,,,,
